word,sentence
a,I have a dog.
able,She is able to jump high.
about,I read a book about animals.
acid,The acid can burn things.
act,I will act in the play.
after,We eat dinner after school.
air,The air is fresh today.
all,All my friends are here.
ant,The ant is very small.
any,Do you have any candy?
arch,The arch is tall and pretty.
arm,I hurt my arm while playing.
army,The army protects our country.
art,I love to make art.
at,I am at the park.
baby,The baby is sleeping.
back,I will go back home.
bad,That was a bad movie.
bag,I carry my lunch in a bag.
ball,I kicked the ball.
band,The band played music.
base,The base of the tower is strong.
bath,I take a bath every night.
be,I want to be a teacher.
bed,I sleep in my bed.
bee,The bee makes honey.
bell,The bell rang at school.
bent,The tree was bent in the wind.
bit,I had a bit of cake.
bite,I will take a bite of the apple.
blue,The sky is blue.
boat,We ride in a boat on the lake.
body,The body is very important.
book,I like to read a book.
boot,He wore a boot on his foot.
box,I keep my toys in a box.
boy,The boy is playing outside.
brain,The brain helps us think.
cap,I wear a cap in the sun.
car,The car is fast.
card,I have a card for my birthday.
care,I take care of my pets.
cart,We use a cart for groceries.
cat,My cat likes to play.
chain,The chain is made of metal.
chest,I keep toys in the chest.
chin,He rested his chin on his hand.
claw,The crab has a big claw.
clip,I use a clip to hold papers.
coat,I wear a coat when it is cold.
cold,It is cold outside today.
come,Please come to my party.
cow,The cow gives us milk.
crib,The baby sleeps in a crib.
dark,It is dark at night.
day,Today is a sunny day.
debt,He has a debt to pay.
deep,The water is deep here.
dog,My dog loves to play fetch.
door,"Close the door, please."
down,The ball rolled down the hill.
draw,I like to draw pictures.
dry,The towel is dry now.
ear,I can hear with my ear.
east,The sun rises in the east.
egg,I had an egg for breakfast.
end,The story has a happy end.
face,She has a happy face.
fact,That is a fun fact!
fall,The leaves fall in autumn.
far,The store is far away.
fat,The cat is fat and happy.
fear,I have no fear of the dark.
feet,I have two feet.
find,Can you find my book?
fish,I saw a fish in the water.
flag,The flag is waving in the wind.
flat,The ground is flat here.
flow,The river will flow to the sea.
food,I love to eat good food.
form,We will form a line.
full,My bag is full of toys.
game,Let’s play a game.
gift,I gave her a gift.
give,Can you give me a hand?
glad,I am glad to see you!
glow,The stars glow at night.
goat,The goat is on the hill.
gold,Gold is a shiny metal.
good,She is a good friend.
gray,The sky is gray today.
grid,The grid helps us draw maps.
grow,Plants grow in the spring.
hand,Raise your hand.
harm,Do not harm the animals.
hate,I do not hate anyone.
head,My head hurts a little.
heal,Time will heal your wounds.
