word,sentence
about,This book is about a brave dog.
across,We ran across the big field together.
action,The movie was full of action and fun.
add,Can you add these numbers to find the total?
admire,I admire how kind my teacher is to everyone.
advice,My dad gave me good advice about studying.
again,I want to play that game again because it’s fun.
almost,I almost finished my homework before dinner.
amount,Please give me a small amount of juice.
anger,"It’s okay to feel anger, but we should talk about it."
answer,Can you please tell me the answer to the riddle?
apple,An apple a day keeps the doctor away.
argue,My friends like to argue about their favorite movies.
army,The army helps to keep our country safe.
art,I love to make art with my crayons and markers.
auto,An auto is just another word for a car.
back,Please come back to your seat after recess.
band,I play the drums in the school band with my friends.
basic,These are the basic rules we need to follow in class.
begin,Let’s begin the story right now; I can’t wait!
better,I feel better after eating a healthy snack.
blue,The sky looks so blue and clear today.
brain,Our brain helps us learn and remember things.
bring,Don’t forget to bring your favorite toy to show us.
build,We will build a tall sandcastle at the beach.
button,Can you help me button my coat before we go out?
carry,I can carry my backpack by myself now.
check,Check your answers carefully before you turn in your work.
claim,I want to claim my prize at the end of the game.
class,I love my art class because we get to be creative.
clean,Please keep your room clean and tidy every day.
cloud,A fluffy cloud is floating in the bright blue sky.
coach,My coach helps me improve my soccer skills.
coast,We went to the coast and collected seashells on the beach.
color,What is your favorite color in the rainbow?
count,Can you count how many cookies are on the plate?
cover,Put a cover on the book to keep it safe.
cross,You need to cross the street at the crosswalk.
dance,I love to dance to my favorite songs at the party.
date,What is the date of your birthday this year?
deep,The pool is deep enough for diving.
depth,The depth of the lake is very surprising.
draw,I love to draw pictures of my family and friends.
drive,I can drive my toy car really fast.
edge,Be careful at the edge of the table so you don’t fall.
empty,The box is empty because I took everything out.
equal,Two plus two is equal to four; that’s easy math!
error,I found an error in my homework and fixed it.
event,The school is planning a fun event for everyone to enjoy.
exact,I need the exact number of crayons for the project.
face,She has a happy face when she sees her friends.
fact,Here is a fun fact: turtles can live a long time!
fair,It was fair for everyone to take turns during the game.
faith,I have faith that I will do well on my test.
fight,It’s better to talk than to start a fight with someone.
final,This is my final project for the school year.
first,I was the first one to finish my homework today.
force,The wind can force the leaves to dance in the air.
front,I like to sit in the front of the bus so I can see better.
fruit,I like to eat fruit like bananas and strawberries.
gain,I hope to gain more friends this school year.
give,Please give me a high five for a job well done!
glass,I drink milk from a glass every morning.
group,We are a group of friends who like to play together.
guess,Can you guess what I am thinking about?
happy,I feel happy when I play outside with my friends.
heart,The heart pumps blood to keep us healthy.
help,I am happy to help you with your homework.
idea,That’s a great idea for our science project!
iron,We use an iron to make our clothes look neat.
issue,We need to talk about an issue that happened in class.
join,Can I join you for lunch today?
keep,Please keep your hands to yourself during the lesson.
kick,I will kick the ball to my friend during the game.
king,The king wears a crown and rules the land.
large,That is a large elephant at the zoo.
laugh,I love to laugh when I hear a funny joke.
learn,I want to learn something new every day.
least,This is the least favorite food on my plate.
light,The light in my room helps me read my book.
limit,There is a limit to how many friends you can have.
lucky,I feel lucky to have such nice friends.
